,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,"20.1","20.2","20.3","20.4",21,22,23,24
"QUESTIONÁRIO 42",3,1,5,3,3,1,3,25,4,4,3,3,4,5,1,5,5,5,4,3,4,5,5,1,3,
"QUESTIONÁRIO 43",2,1,7,1,1,1,3,26,5,3,3,3,5,5,1,5,5,5,4,4,4,4,5,1,4,
"QUESTIONÁRIO 44",2,2,5,3,2,1,3,22,3,4,3,3,5,5,1,5,5,5,4,4,5,5,5,1,3,
"QUESTIONÁRIO 45",2,1,2,2,4,1,2,19,0,0,2,3,4,4,1,3,5,4,4,4,5,4,4,1,3,
"QUESTIONÁRIO 46",2,2,7,1,1,1,1,15,2,5,2,3,4,4,1,5,5,4,4,4,4,5,5,1,2,
"QUESTIONÁRIO 47",2,1,2,1,2,1,3,21,3,1,3,3,5,5,1,5,3,1,4,5,4,4,4,1,2,
"QUESTIONÁRIO 48",2,1,2,2,4,1,2,20,2,5,2,3,4,5,1,3,5,3,5,4,5,5,5,2,3,
"QUESTIONÁRIO 49",2,2,5,3,1,2,1,27,4,1,3,3,5,5,1,4,5,4,4,5,4,4,4,1,2,
"QUESTIONÁRIO 50",2,1,7,2,4,2,3,28,5,5,1,2,5,4,1,5,5,4,4,4,3,5,4,2,4,
"QUESTIONÁRIO 51",2,1,6,3,2,2,3,30,6,2,3,4,5,5,4,5,5,4,4,5,5,5,5,1,4,
"QUESTIONÁRIO 52",2,2,5,5,1,2,4,25,4,4,3,3,4,3,2,5,3,4,5,4,4,4,5,3,3,
"QUESTIONÁRIO 53",2,2,4,2,3,1,2,19,0,0,2,2,3,2,3,3,2,3,4,3,2,5,4,2,2,
"QUESTIONÁRIO 54",3,2,5,1,2,3,4,24,3,3,3,3,4,3,3,3,5,5,4,3,4,5,5,4,2,
"QUESTIONÁRIO 55",3,1,3,1,2,1,2,16,1,4,3,3,4,5,3,2,3,2,2,3,2,1,4,1,1,
"QUESTIONÁRIO 56",2,1,7,3,2,2,4,23,10,1,2,4,4,2,1,5,4,5,5,5,5,5,4,1,2,
"QUESTIONÁRIO 57",2,2,4,1,4,2,2,19,4,1,2,3,4,5,1,4,3,4,4,2,3,5,4,1,4,
"QUESTIONÁRIO 58",3,2,4,4,2,1,1,21,2,4,2,4,3,2,1,2,4,5,4,2,4,3,4,1,2,
"QUESTIONÁRIO 59",2,1,6,4,1,1,2,27,3,5,2,3,4,5,1,4,4,5,4,4,5,5,4,2,3,
"QUESTIONÁRIO 60",1,1,4,3,2,4,1,20,0,0,4,1,2,4,1,3,5,4,3,3,4,4,5,2,1,
"QUESTIONÁRIO 61",2,2,5,2,1,3,1,24,12,5,2,3,4,3,2,2,5,3,4,4,4,4,4,4,2,
"QUESTIONÁRIO 62",1,1,3,2,1,4,1,17,0,0,1,3,3,3,4,2,3,6,2,2,3,3,4,1,2,"TER MAIS AMOSTRAS AUDIOVISUAIS EM BH"
"QUESTIONÁRIO 63",1,1,3,1,1,4,3,20,0,0,3,4,3,3,2,4,4,4,4,3,4,4,4,4,4,
"QUESTIONÁRIO 64",3,1,6,4,2,1,4,33,8,2,3,4,5,5,3,5,4,5,5,5,5,5,4,4,1,"MERCADO MUITO RESTRITO"
"QUESTIONÁRIO 65",1,1,3,5,1,1,2,22,0,0,1,2,3,3,1,2,3,3,2,2,3,3,3,1,3,
"QUESTIONÁRIO 66",2,2,5,3,4,5,4,17,1,4,4,1,1,1,4,1,1,1,1,1,2,1,2,1,2,
"QUESTIONÁRIO 67",3,1,4,4,3,1,2,23,5,5,2,3,1,4,3,4,5,3,5,4,5,5,5,2,1,
"QUESTIONÁRIO 68",1,1,4,3,4,2,2,31,2,5,1,2,1,4,2,2,4,5,5,4,4,4,3,2,4,
"QUESTIONÁRIO 69",1,2,6,3,2,4,1,58,0,0,1,3,5,5,3,5,5,3,2,3,3,3,5,4,2,
"QUESTIONÁRIO 70",3,1,6,3,2,4,1,26,0,0,1,2,6,6,4,4,5,4,5,4,1,2,4,1,1,
"QUESTIONÁRIO 71",3,1,6,3,3,4,2,24,0,0,2,2,3,3,2,1,5,3,5,5,4,4,5,1,1,
"QUESTIONÁRIO 72",1,2,3,4,1,1,2,18,0,0,2,1,2,3,1,2,5,6,4,5,3,2,4,2,2,
"QUESTIONÁRIO 73",2,2,4,3,1,4,2,20,2,4,1,2,2,4,1,3,3,3,3,3,4,4,4,4,2,
"QUESTIONÁRIO 74",3,2,4,3,1,4,2,19,0,0,1,2,6,5,1,4,4,3,3,4,4,4,4,4,2,"NÃO INCENTIVOS E OPORTUNIDADES SUFICIENTES EM BH."
"QUESTIONÁRIO 75",3,2,2,3,4,1,2,35,15,2,4,2,4,4,3,5,5,5,1,4,4,3,3,4,5,
"QUESTIONÁRIO 76",2,2,6,3,3,1,4,46,20,2,1,3,4,3,4,5,3,4,3,4,4,3,5,4,5,
"QUESTIONÁRIO 77",1,2,4,2,2,1,2,28,0,0,2,1,4,4,3,3,5,4,4,5,1,1,4,2,1,
"QUESTIONÁRIO 78",1,2,5,1,2,2,3,18,2,2,2,4,4,5,1,3,6,5,2,3,4,4,5,2,4,
"QUESTIONÁRIO 79",1,2,4,3,2,4,2,19,2,4,2,2,4,5,2,4,4,5,4,3,4,4,4,4,1,
"QUESTIONÁRIO 80",2,1,2,4,2,3,1,16,0,0,1,2,6,5,1,1,5,6,3,4,3,2,4,4,4,"PERCEBO MAIS FACILIDADDE NO RIO DE JANEIRO"
"QUESTIONÁRIO 81",2,2,7,1,3,4,3,32,3,4,2,2,3,6,1,3,4,4,5,5,4,4,5,2,4,
"QUESTIONÁRIO 82",1,2,6,1,1,1,1,20,3,1,3,1,3,4,3,3,4,4,4,4,4,4,3,2,4,
"QUESTIONÁRIO 83",1,1,3,1,2,1,1,28,20,3,1,1,1,3,4,5,5,3,4,4,4,4,5,4,4,
"QUESTIONÁRIO 84",1,2,6,2,1,4,1,19,1,1,1,3,3,3,2,4,5,4,4,4,5,3,5,1,5,
"QUESTIONÁRIO 85",1,2,3,3,2,4,3,18,0,0,3,3,3,3,4,3,4,4,4,3,4,4,5,1,4,
"QUESTIONÁRIO 86",3,1,5,3,1,1,3,21,2,2,1,3,3,4,4,3,4,4,3,3,4,4,3,4,5,
"QUESTIONÁRIO 87",2,2,6,2,1,1,2,17,2,2,1,3,3,4,3,3,3,3,2,3,4,4,5,2,2,
"QUESTIONÁRIO 88",1,2,4,5,1,4,3,23,2,4,3,2,1,4,1,4,4,5,2,3,2,3,3,2,4,
"QUESTIONÁRIO 89",1,1,2,1,1,2,2,15,1,3,2,2,3,3,4,3,4,4,5,5,2,5,5,1,4,"DEVIA TER MAIS TESTES PARA PUBLICIDADES"
"QUESTIONÁRIO 90",3,1,4,4,2,4,3,19,0,0,1,1,5,5,3,5,5,6,4,4,3,4,4,2,3,
"QUESTIONÁRIO 91",2,1,6,4,2,2,2,24,4,4,2,2,4,3,1,1,4,3,4,4,3,3,2,1,2,
"QUESTIONÁRIO 92",1,1,7,5,3,1,3,48,5,4,3,3,5,4,1,4,4,5,4,4,5,4,5,1,4,
"QUESTIONÁRIO 93",1,1,7,1,1,1,3,20,3,2,3,3,5,4,1,2,5,4,4,1,3,4,5,1,3,
"QUESTIONÁRIO 94",1,2,3,2,1,4,1,21,0,0,1,1,2,3,4,2,3,3,2,3,2,1,3,1,2,"MAIS INCENTIVOS A PRODUTORAS INDEPENDENTES"
"QUESTIONÁRIO 95",1,2,4,2,4,4,2,20,2,4,3,3,4,3,1,3,3,3,4,4,4,5,5,4,4,
"QUESTIONÁRIO 96",2,1,5,3,2,2,4,28,4,1,3,3,4,5,1,4,4,5,4,4,3,4,3,4,4,
"QUESTIONÁRIO 97",3,1,5,3,1,1,2,29,4,3,2,1,4,4,3,2,5,6,4,3,5,4,4,1,1,
"QUESTIONÁRIO 98",2,2,6,2,1,1,4,21,5,4,2,2,5,5,4,4,5,5,2,3,5,4,3,4,4,
"QUESTIONÁRIO 99",3,2,2,2,1,4,1,18,2,1,3,3,1,4,1,3,2,4,4,4,2,4,4,4,3,
"QUESTIONÁRIO 100",3,1,4,3,2,1,1,21,19,3,1,1,3,3,1,3,4,4,3,3,4,5,4,4,6,
